bandit,reward,algorithm
4,3.518754674778148,thompson-sampling
4,2.6766966586616032,thompson-sampling
4,2.9091788758209467,thompson-sampling
4,3.2598967957946154,thompson-sampling
4,4.912108413263861,thompson-sampling
4,5.145687643773589,thompson-sampling
4,3.8831439175741753,thompson-sampling
4,4.195884618309529,thompson-sampling
4,3.804927512787528,thompson-sampling
4,4.777480843042039,thompson-sampling
4,4.208837758577079,thompson-sampling
4,4.032120336073834,thompson-sampling
4,3.9089739378248316,thompson-sampling
4,4.725053447378482,thompson-sampling
4,3.2047644780623448,thompson-sampling
4,4.243149079028871,thompson-sampling
4,6.004866274469447,thompson-sampling
4,4.2564079328455655,thompson-sampling
4,4.059283926602926,thompson-sampling
4,3.648591118303764,thompson-sampling
4,3.805076297553638,thompson-sampling
4,4.724691167285715,thompson-sampling
4,4.979175217170172,thompson-sampling
4,5.7282177223259865,thompson-sampling
4,1.6321219820758444,thompson-sampling
4,3.0564661064650345,thompson-sampling
4,4.23283592068103,thompson-sampling
4,5.047160709940711,thompson-sampling
4,4.37630861555699,thompson-sampling
4,4.537608135274666,thompson-sampling
4,4.079038729119796,thompson-sampling
4,5.809221106817807,thompson-sampling
4,4.262744631150591,thompson-sampling
4,4.133955154993405,thompson-sampling
4,4.331825508017726,thompson-sampling
4,4.3259436153978195,thompson-sampling
4,5.62944559140987,thompson-sampling
4,3.651546863468561,thompson-sampling
4,3.5618058585640346,thompson-sampling
4,5.753635784205641,thompson-sampling
4,3.4810449809334942,thompson-sampling
4,4.288205819580096,thompson-sampling
4,4.880652641389188,thompson-sampling
4,2.92756600398603,thompson-sampling
4,5.052234527109071,thompson-sampling
4,4.7965404596881624,thompson-sampling
4,2.7767557429239496,thompson-sampling
4,4.268677600526775,thompson-sampling
4,3.642023275633403,thompson-sampling
4,4.317939397066006,thompson-sampling
4,2.521673146245071,thompson-sampling
4,2.811318403075817,thompson-sampling
4,2.933939347282185,thompson-sampling
4,2.8469802654899006,thompson-sampling
4,3.862595334974471,thompson-sampling
4,2.8996674488279957,thompson-sampling
4,4.020234149322678,thompson-sampling
4,4.723416760289618,thompson-sampling
4,2.964501770946016,thompson-sampling
4,4.178306328728439,thompson-sampling
4,3.234512582694613,thompson-sampling
4,5.980605280240352,thompson-sampling
4,3.5952039463071888,thompson-sampling
4,4.801827761658196,thompson-sampling
4,3.9772138155182093,thompson-sampling
4,3.2839112773590333,thompson-sampling
4,2.8738206089264304,thompson-sampling
4,3.8915331272518583,thompson-sampling
4,3.520917450025345,thompson-sampling
4,2.6739338266656723,thompson-sampling
4,3.608727306385859,thompson-sampling
4,4.392255846540199,thompson-sampling
4,3.3867933183282166,thompson-sampling
4,4.097342643414943,thompson-sampling
4,5.459255530132573,thompson-sampling
4,6.138585015224103,thompson-sampling
4,4.1099159176178555,thompson-sampling
4,1.6581566591725427,thompson-sampling
4,4.285745257782353,thompson-sampling
4,5.36045316453525,thompson-sampling
4,5.226859943687986,thompson-sampling
4,2.4018040297297922,thompson-sampling
4,3.955474366714673,thompson-sampling
4,3.6357342146298426,thompson-sampling
4,3.0047895320985685,thompson-sampling
4,5.274474777002501,thompson-sampling
4,4.477997877320467,thompson-sampling
4,5.8230845113961855,thompson-sampling
4,3.83072841690545,thompson-sampling
4,3.221799188946826,thompson-sampling
4,4.4180099243843145,thompson-sampling
4,2.3884458226159744,thompson-sampling
4,3.7436589273964733,thompson-sampling
4,4.076921150185804,thompson-sampling
4,5.810343755980707,thompson-sampling
4,4.121129344693945,thompson-sampling
4,3.8159654198788386,thompson-sampling
4,4.520039973824249,thompson-sampling
4,3.404067112173778,thompson-sampling
4,5.422171039432502,thompson-sampling
4,3.7185280708613577,thompson-sampling
4,2.171232988231373,thompson-sampling
4,3.7039173715587483,thompson-sampling
4,3.9828189789384525,thompson-sampling
4,1.9008867716412605,thompson-sampling
4,4.413345049173294,thompson-sampling
4,4.863880375079926,thompson-sampling
4,4.511326118557328,thompson-sampling
4,4.090852635270966,thompson-sampling
4,4.256317877403886,thompson-sampling
4,3.8009049317261416,thompson-sampling
4,5.605379177439342,thompson-sampling
4,4.731988238079904,thompson-sampling
4,2.550665754989898,thompson-sampling
4,4.45046481787109,thompson-sampling
4,2.135811176430132,thompson-sampling
4,2.0274490935130536,thompson-sampling
4,3.5621678346094967,thompson-sampling
4,3.7837254288189084,thompson-sampling
4,0.8295467756149035,thompson-sampling
4,3.325459595269371,thompson-sampling
4,3.3476154472644524,thompson-sampling
4,4.865923412143631,thompson-sampling
4,3.128072185291486,thompson-sampling
4,5.047461091229885,thompson-sampling
4,3.178853261877344,thompson-sampling
4,4.809073064591295,thompson-sampling
4,2.4386727024923447,thompson-sampling
4,3.338168970802953,thompson-sampling
4,3.9165266348747942,thompson-sampling
4,2.5621126320202405,thompson-sampling
4,2.427410389351604,thompson-sampling
4,1.932919657201381,thompson-sampling
4,3.2425605951083987,thompson-sampling
4,4.131646312746775,thompson-sampling
4,3.5822469105502193,thompson-sampling
4,4.605455351435844,thompson-sampling
4,2.934856439936488,thompson-sampling
4,4.541766321015659,thompson-sampling
4,3.2746549060915395,thompson-sampling
4,2.7066062593085087,thompson-sampling
4,4.808846094257365,thompson-sampling
4,4.177253058482965,thompson-sampling
4,4.797563588886277,thompson-sampling
4,4.982239236750184,thompson-sampling
4,3.2217686241568586,thompson-sampling
4,5.423228772915468,thompson-sampling
4,2.899682217025879,thompson-sampling
4,1.871870801390509,thompson-sampling
4,3.9206706174118637,thompson-sampling
4,2.936695688362952,thompson-sampling
4,2.959938040365748,thompson-sampling
4,5.152232056123409,thompson-sampling
4,1.9802854509424557,thompson-sampling
4,3.6454969089862024,thompson-sampling
4,3.9344680010092627,thompson-sampling
4,3.564899251611357,thompson-sampling
4,3.1338860522753555,thompson-sampling
4,3.0691466243078853,thompson-sampling
4,3.2469901340465537,thompson-sampling
4,3.2926828996944066,thompson-sampling
4,2.136075878610676,thompson-sampling
4,3.4400125817717426,thompson-sampling
4,5.926252665866974,thompson-sampling
4,3.594869381633116,thompson-sampling
4,2.3355591377131266,thompson-sampling
4,5.805545178394843,thompson-sampling
4,5.417302564009576,thompson-sampling
4,3.613664024571194,thompson-sampling
4,2.782532101117492,thompson-sampling
4,4.371280959882907,thompson-sampling
4,4.593443694811259,thompson-sampling
4,5.951727950911858,thompson-sampling
4,3.8115314380973655,thompson-sampling
4,3.7079208366380616,thompson-sampling
4,5.101157070845917,thompson-sampling
4,4.358138417820803,thompson-sampling
4,4.725477023412456,thompson-sampling
4,3.460161436807665,thompson-sampling
4,4.264815257293438,thompson-sampling
4,5.444736150345407,thompson-sampling
4,3.386995595040352,thompson-sampling
4,3.0795160364073735,thompson-sampling
4,3.308952504955053,thompson-sampling
4,3.5746233848107356,thompson-sampling
4,3.8186191970064365,thompson-sampling
4,4.375301771016715,thompson-sampling
4,7.03531575857352,thompson-sampling
4,4.230334556988755,thompson-sampling
4,3.0328648428057345,thompson-sampling
4,2.4861051004401924,thompson-sampling
4,4.375668451026339,thompson-sampling
4,4.475402208106154,thompson-sampling
4,5.4538186221924105,thompson-sampling
4,3.9216292323796074,thompson-sampling
4,3.520561046269024,thompson-sampling
4,4.808298826869278,thompson-sampling
4,5.387273352350636,thompson-sampling
4,3.7043369096262815,thompson-sampling
4,4.473457738630934,thompson-sampling
4,3.568394903819701,thompson-sampling
4,3.8099023439277997,thompson-sampling
4,6.252005743885903,thompson-sampling
4,6.234240382841843,thompson-sampling
4,3.9177140136011284,thompson-sampling
4,3.552074920159345,thompson-sampling
4,3.6018348396523026,thompson-sampling
4,4.6807763156569235,thompson-sampling
4,4.06688379642118,thompson-sampling
4,2.8871875829446934,thompson-sampling
4,4.1144122645235734,thompson-sampling
4,4.523567487117825,thompson-sampling
4,2.619349842010741,thompson-sampling
4,4.5963365188432785,thompson-sampling
4,5.49137437236403,thompson-sampling
4,2.846700642870002,thompson-sampling
4,3.6353542432899477,thompson-sampling
4,4.320402273823471,thompson-sampling
4,5.017482569221256,thompson-sampling
4,2.668815089324416,thompson-sampling
4,2.2450263374166948,thompson-sampling
4,5.887658030182041,thompson-sampling
4,1.589299188839035,thompson-sampling
4,2.8047954319191173,thompson-sampling
4,4.765161244004979,thompson-sampling
4,4.58894618689012,thompson-sampling
4,3.404096538605519,thompson-sampling
4,3.94898836580105,thompson-sampling
4,4.973946084615355,thompson-sampling
4,2.0492391711982822,thompson-sampling
4,4.747130168568094,thompson-sampling
4,3.9651978271186668,thompson-sampling
4,5.647568203028252,thompson-sampling
4,2.3957980077548457,thompson-sampling
4,3.9043729356638845,thompson-sampling
4,3.9851153141315057,thompson-sampling
4,3.1397463335341236,thompson-sampling
4,1.8119711596569226,thompson-sampling
4,4.851670906366393,thompson-sampling
4,5.3202079125329735,thompson-sampling
4,2.784529280655273,thompson-sampling
4,2.670023492980558,thompson-sampling
4,4.060804686274098,thompson-sampling
4,3.753954821478541,thompson-sampling
4,0.3849391832779028,thompson-sampling
4,3.3532663797317204,thompson-sampling
4,5.653468690536654,thompson-sampling
4,3.605081578827272,thompson-sampling
4,4.152876897959928,thompson-sampling
4,4.155509702324596,thompson-sampling
4,4.280556476331066,thompson-sampling
4,4.208942386628354,thompson-sampling
4,4.702435783069898,thompson-sampling
4,4.545394285171435,thompson-sampling
4,1.7077989714910702,thompson-sampling
4,4.045557901247756,thompson-sampling
4,4.756327963110223,thompson-sampling
4,5.3905695542052365,thompson-sampling
4,4.124606629123685,thompson-sampling
4,3.2822558633688024,thompson-sampling
4,3.3206012047981526,thompson-sampling
4,3.5272108122822465,thompson-sampling
4,4.573624782806572,thompson-sampling
4,3.5497124308750685,thompson-sampling
4,4.984517124226141,thompson-sampling
4,5.185058007624459,thompson-sampling
4,3.9196416202348803,thompson-sampling
4,3.5607684424315327,thompson-sampling
4,3.305779441922285,thompson-sampling
4,3.3668757667974516,thompson-sampling
4,4.4072924546083385,thompson-sampling
4,5.490922284940236,thompson-sampling
4,4.223003287155045,thompson-sampling
4,4.694946098581192,thompson-sampling
4,3.480599398992137,thompson-sampling
4,4.334187197261951,thompson-sampling
4,2.5584664906183834,thompson-sampling
4,3.773742936461797,thompson-sampling
4,4.136063601757077,thompson-sampling
